"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"9A2E22718E821264","classic_bike","2024-05-27 18:04:34","2024-05-27 18:11:23","Essex St at Dalton Parkway","T32011","Salem MBTA - Washington at Federal St","T32005",42.516223,-70.905535,42.52345239346618,-70.89611113071442,"member"
"743158DD23E43075","electric_bike","2024-05-16 22:47:38","2024-05-16 23:06:46","Tappan St at Brookline Hills MBTA","K32008","Centre St at Washington St","N32000",42.33145833,-71.127170205,42.35574334805774,-71.18641942508475,"member"
"D6C7371ACE49D663","electric_bike","2024-05-29 19:33:23","2024-05-29 20:06:44","NCAAA - Walnut Ave at Crawford St","B32027","Boylston St at Berkeley St","D32013",42.316861391,-71.091861367,42.3511419825475,-71.07329249382019,"member"
"45D66C5B917EBFDB","classic_bike","2024-05-02 17:01:34","2024-05-02 17:15:36","NCAAA - Walnut Ave at Crawford St","B32027","Jamaica St at South St","D32052",42.316902,-71.091946,42.3060456272408,-71.11570891001975,"casual"
"58252B0A8F1FC584","classic_bike","2024-05-28 18:51:48","2024-05-28 19:07:44","Maverick St at Massport Path","A32044","Bennington St at Constitution Beach","A32039",42.36774122306014,-71.0333597474255,42.385223935870535,-71.01063068965232,"casual"
"691C0CC296F712D9","classic_bike","2024-05-30 18:10:09","2024-05-30 18:32:18","Mugar Way at Beacon St","D32017","Harvard Square at Mass Ave/ Dunster","M32018",42.355536284897084,-71.07286870479584,42.373268,-71.118579,"member"
"AD3253F09A1F56A9","classic_bike","2024-05-17 19:59:54","2024-05-17 20:09:25","Tremont St at West St","D32014","Harrison Ave at Bennet St","D32043",42.354979,-71.063348,42.34942609892521,-71.06209959843909,"member"
"49496AC1551382FD","electric_bike","2024-05-12 20:13:02","2024-05-12 20:20:39","Mugar Way at Beacon St","D32017","Massachusetts Ave at Columbus Ave","C32004",42.355631113,-71.072937489,42.340835,-71.0816197,"member"
"648D592908CF383C","classic_bike","2024-05-26 23:36:08","2024-05-26 23:50:16","Brookline Village - Station Street at MBTA","K32003","Massachusetts Ave at Columbus Ave","C32004",42.33274392304887,-71.11626680949485,42.340835,-71.0816197,"member"
"397FDC61E6CA77EF","electric_bike","2024-05-01 20:30:30","2024-05-01 20:45:06","Church St","M32087","Prudential Center - 101 Huntington Ave","C32007",42.374361873,-71.11967814,42.34652003998412,-71.08065776545118,"member"
"B3CF90ACA3FBF33E","electric_bike","2024-05-26 11:09:39","2024-05-26 12:00:19","Mugar Way at Beacon St","D32017","Cambridge Crossing at North First Street","M32077",42.355653286,-71.07294333,42.371141,-71.076198,"member"
"482E320496D62B22","classic_bike","2024-05-21 12:47:13","2024-05-21 13:12:17","Assembly Square T","S32018","Cambridge Crossing at North First Street","M32077",42.392232840046276,-71.07746601104736,42.371141,-71.076198,"member"
"E5CE7B3C5B939D0D","electric_bike","2024-05-24 13:21:46","2024-05-24 13:26:49","NCAAA - Walnut Ave at Crawford St","B32027","Bartlett St at John Elliot Sq","B32055",42.316862226,-71.09180522,42.3294633,-71.0901582,"casual"
"281EBB591529FE5A","electric_bike","2024-05-31 19:44:55","2024-05-31 19:52:46","Hyde Square - Barbara St at Centre St","E32003","Walnut Ave at Warren St","B32030",42.321531057,-71.110049605,42.324081,-71.083235,"member"
"C7D1DAD287BE531A","classic_bike","2024-05-06 19:20:03","2024-05-06 19:35:54","Washington St at Melnea Cass Blvd","B32026","MIT at Mass Ave / Amherst St","M32006",42.332817,-71.081198,42.3581,-71.093198,"member"
"5ACD607C9E7F228E","classic_bike","2024-05-06 13:36:19","2024-05-06 13:48:30","Washington St at Melnea Cass Blvd","B32026","MIT at Mass Ave / Amherst St","M32006",42.332817,-71.081198,42.3581,-71.093198,"member"
"656D431CC2395969","classic_bike","2024-05-13 09:04:47","2024-05-13 09:16:25","Washington St at Melnea Cass Blvd","B32026","MIT at Mass Ave / Amherst St","M32006",42.332817,-71.081198,42.3581,-71.093198,"member"
"6A8142C0EF5D36B4","electric_bike","2024-05-22 13:28:41","2024-05-22 13:31:36","Congress St at Boston City Hall","D32009","Valenti Way at Haverhill St","A32053",42.360688806,-71.057488918,42.36473898691789,-71.05934903025626,"member"
"AC610485DB3D8599","classic_bike","2024-05-16 21:35:47","2024-05-16 21:39:40","Maverick St at Massport Path","A32044","Boston East - 126 Border St","A32036",42.36774122306014,-71.0333597474255,42.373312125824704,-71.0410200806291,"member"
"3F55B61D8E5D449C","electric_bike","2024-05-27 04:55:24","2024-05-27 05:24:58","Valenti Way at Haverhill St","A32053","Blossom St at Charles St","D32050",42.364666939,-71.059103966,42.36435589027983,-71.0695936904267,"member"
"1B8765381B02EB0D","classic_bike","2024-05-31 21:00:00","2024-05-31 21:09:09","MIT at Mass Ave / Amherst St","M32006","Blossom St at Charles St","D32050",42.3581,-71.093198,42.36435589027983,-71.0695936904267,"member"
"ADD793633CCA1184","electric_bike","2024-05-17 13:09:33","2024-05-17 13:34:24","7 Acre Park","V32001","Harvard Square at Brattle St / Eliot St","M32017",42.410872936,-71.067850947,42.373328798874056,-71.12098601080106,"member"
"7D7368F894007828","classic_bike","2024-05-20 06:55:16","2024-05-20 07:19:31","Hyde Square - Barbara St at Centre St","E32003","Post Office Square","D32012",42.32176525723952,-71.10984160567114,42.35585435522005,-71.05459745998814,"member"
"64BEA2A112A9AAE9","classic_bike","2024-05-14 12:44:41","2024-05-14 12:53:49","Graham and Parks School – Linnaean St at Walker St","M32068","Harvard Square at Brattle St / Eliot St","M32017",42.38294430172271,-71.12449831038248,42.373328798874056,-71.12098601080106,"member"
"943EA57967817159","classic_bike","2024-05-10 18:22:14","2024-05-10 18:31:42","Maverick St at Massport Path","A32044","Boston East - 126 Border St","A32036",42.36774122306014,-71.0333597474255,42.373312125824704,-71.0410200806291,"member"
"5B60042B8059E049","classic_bike","2024-05-07 17:46:43","2024-05-07 17:57:50","Tappan St at Brookline Hills MBTA","K32008","Harvard St and Stedman St","K32017",42.331370168043215,-71.1268836054569,42.3443517550051,-71.12490355968475,"member"
"C19E17B674F85649","classic_bike","2024-05-13 07:24:23","2024-05-13 07:34:57","Hyde Square - Barbara St at Centre St","E32003","Riverway at Brookline Ave","A32056",42.32176525723952,-71.10984160567114,42.33661005730433,-71.11004680395126,"member"
"5B8B0666CD8F124D","classic_bike","2024-05-31 07:20:16","2024-05-31 07:25:09","Washington St at Lenox St","C32005","Harrison Ave at E. Dedham St","C32093",42.3350989929096,-71.07903778553009,42.339194,-71.06975,"member"
"E11C7CA25C673D16","classic_bike","2024-05-21 21:08:40","2024-05-21 21:19:07","Mugar Way at Beacon St","D32017","Deerfield St at Commonwealth Ave","B32037",42.355536284897084,-71.07286870479584,42.34924376955301,-71.09728209692548,"member"
"39865DD46E0FE2D8","electric_bike","2024-05-04 12:47:10","2024-05-04 12:52:58","Lenox St at Kendall St","D32061","Christian Science Plaza - Massachusetts Ave at Westland Ave","B32005",42.337392688,-71.082336903,42.3436658245146,-71.08582377433777,"member"
"BDFF11B8D8182A2D","electric_bike","2024-05-30 11:40:14","2024-05-30 11:45:27","MIT at Mass Ave / Amherst St","M32006","Deerfield St at Commonwealth Ave","B32037",42.358439207,-71.093138814,42.34924376955301,-71.09728209692548,"member"
"742397F415DF631F","classic_bike","2024-05-13 12:34:00","2024-05-13 12:45:16","MIT at Mass Ave / Amherst St","M32006","Deerfield St at Commonwealth Ave","B32037",42.3581,-71.093198,42.34924376955301,-71.09728209692548,"member"
"89EF82D56A0C23E7","electric_bike","2024-05-14 08:39:16","2024-05-14 09:00:20","NCAAA - Walnut Ave at Crawford St","B32027","Christian Science Plaza - Massachusetts Ave at Westland Ave","B32005",42.316869497,-71.091951251,42.3436658245146,-71.08582377433777,"member"
